store_name,store_addr,address_code,store_city,store_town,store_dist
북수원,"경기도 수원시 장안구 서부로 2201",41111,경기도,수원시,장안구
북양,"경기도 화성시 남양읍 현대기아로 703-4 (북양동)",41590,경기도,화성시,
북인천,"인천광역시 계양구 경명대로 1082",28245,인천광역시,계양구,
분당,"경기도 성남시 분당구 장안로25번길 6-12",41135,경기도,성남시,분당구
분당탑,"경기도 성남시 분당구 판교로 751",41135,경기도,성남시,분당구
비산,"경기도 안양시 동안구 경수대로 839",41173,경기도,안양시,동안구
사천,"경상남도 사천시 사천읍 사천대로 1801",48240,경상남도,사천시,
산격검단,"대구광역시 북구 검단로 135, 107동 111호(검단동",27230,대구광역시,북구,
산동,"대구광역시 북구 노원로 28",27230,대구광역시,북구,
삼미보라,"경기도 용인시 기흥구 용구대로 1835",41463,경기도,용인시,기흥구
삼미서부,"서울특별시 서대문구 성산로255",11410,서울특별시,서대문구,
삼산제일,"울산광역시 남구 화합로 228",31140,울산광역시,남구,
삼양,"전라남도 순천시 강남로 78 (장천동)",46150,전라남도,순천시,
삼한,"강원도 원주시 북원로 2509",42130,강원특별자치도,원주시,
상대원,"경기도 성남시 중원구 순환로130번길 6",41133,경기도,성남시,중원구
상도,"서울특별시 동작구 상도로 292",11590,서울특별시,동작구,
상동,"경기도 부천시 원미구 조마루로105번길 21, 1층",41190,경기도,부천시,
새화랑,"경상북도 경주시 초당길 103",47130,경상북도,경주시,
서곡,"전라북도 전주시 완산구 천잠로 517 (효자동3가)",45111,전라북도,전주시,완산구
서구부민,"부산광역시 서구 구덕로250",26140,부산광역시,서구,
서구비산,"대구광역시 서구 북비산로 371 (비산동)",27170,대구광역시,서구,
서산,"충청남도 서산시 중앙로 401 (수석동)",44210,충청남도,서산시,
서산석림,"충청남도 서산시 한마음16로 14 (석림동)",44210,충청남도,서산시,
서수원,"경기도 수원시 권선구 구운로47번길 66-27",41113,경기도,수원시,권선구
서울SKOK,"서울특별시 양천구 안양천로 1179",11470,서울특별시,양천구,
서울대입구역,"서울특별시 관악구 관악로25길 3",11620,서울특별시,관악구,
서울장안,"서울특별시 동대문구 한천로 72 1층(장안동)",11230,서울특별시,동대문구,
서원경,"충청북도 청주시 흥덕구 직지대로 579",43113,충청북도,청주시,흥덕구
서인천,"인천광역시 서구 서곶로 346 (연희동)",28260,인천광역시,서구,
서재,"대구광역시 달성군 다사읍 서재로12길 2",27710,대구광역시,달성군,
서천,"충청남도 서천군 서천읍 충절로 127",44770,충청남도,서천군,
서초,"서울특별시 서초구 서운로 43",11650,서울특별시,서초구,
서현,"경기도 성남시 분당구 서현로 170, 풍림아이원",41135,경기도,성남시,분당구
